timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168016.799,226.074,22.461,23.438,16.113,78.125,0
1540168016.803,217.285,21.973,24.414,12.695,91.309,0
1540168016.807,205.078,22.949,23.926,17.090,29.785,0
1540168016.811,200.684,24.414,23.926,23.438,18.066,0
1540168016.815,197.266,23.438,24.414,22.949,73.730,0
1540168016.819,195.312,23.926,28.320,21.973,50.293,0
1540168016.823,198.730,25.391,27.832,23.438,-5.371,0
1540168016.827,199.707,26.855,26.855,26.855,-13.672,0
1540168016.830,197.754,25.879,27.344,29.297,47.852,0
1540168016.834,194.824,23.438,24.902,24.902,8.789,0
1540168016.838,200.195,22.949,24.902,22.461,0.488,0
1540168016.842,217.773,20.996,26.367,28.320,-20.020,0
1540168016.846,231.445,22.949,27.832,28.320,-36.133,0
1540168016.850,237.793,24.414,27.832,22.949,29.297,0
1540168016.854,254.883,23.438,28.320,25.391,72.754,0
1540168016.858,258.789,23.438,29.785,29.785,52.734,0
1540168016.862,259.277,24.414,30.762,28.320,47.363,0
1540168016.866,268.066,24.902,31.738,27.344,41.504,0
1540168016.870,278.320,26.855,31.250,22.949,50.293,0
1540168016.873,278.320,25.391,31.738,23.926,85.449,0
1540168016.877,274.902,21.973,31.250,30.762,6.348,0
1540168016.881,268.066,20.508,28.809,29.785,-11.230,0
1540168016.885,260.742,21.484,29.297,25.879,66.895,0
1540168016.889,257.812,22.949,29.785,23.926,8.789,0
1540168016.893,253.418,19.531,29.785,22.461,-3.418,0
1540168016.897,255.371,19.043,30.273,26.855,81.543,0
1540168016.901,255.371,24.902,30.273,23.926,47.363,0
1540168016.905,250.977,24.902,31.738,12.695,-8.789,0
1540168016.909,251.953,22.949,29.785,16.602,1.953,0
1540168016.913,257.324,23.926,28.809,23.438,18.555,0
1540168016.916,248.535,22.949,26.367,20.508,50.293,0
1540168016.920,241.699,20.508,29.785,22.949,52.734,0
1540168016.924,247.559,23.438,31.738,30.762,29.297,0
1540168016.928,243.652,28.320,25.879,23.926,37.598,0
1540168016.932,234.375,24.902,25.391,11.719,99.609,0
1540168016.936,235.352,22.949,31.250,10.742,74.707,0
1540168016.940,231.934,27.344,29.297,12.207,-18.066,0
1540168016.944,224.121,26.855,26.367,10.254,-0.977,0
1540168016.948,218.262,23.438,27.832,6.348,-4.395,0
1540168016.952,221.191,22.461,27.832,4.883,14.648,0
1540168016.955,222.656,25.879,26.855,2.441,67.871,0
1540168016.959,216.309,27.344,26.367,7.812,72.266,0
1540168016.963,212.891,25.391,25.391,6.348,47.363,0
1540168016.967,217.773,22.461,25.879,0.000,10.742,0
1540168016.971,214.844,24.414,27.832,1.953,18.066,0
1540168016.975,201.172,26.855,28.320,8.301,20.020,0
1540168016.979,193.848,27.832,33.691,13.672,41.992,0
1540168016.983,190.918,27.832,35.645,14.160,40.527,0
1540168016.987,180.176,25.879,34.668,11.230,12.207,0
1540168016.991,169.434,24.414,35.645,15.137,63.965,0
1540168016.995,170.898,28.320,38.086,20.020,53.711,0
1540168016.998,174.316,30.273,37.598,20.020,-18.555,0
1540168017.002,168.457,24.902,34.668,17.090,0.977,0
1540168017.006,152.344,25.391,34.180,16.113,87.891,0
1540168017.010,149.902,30.273,35.645,23.926,50.781,0
1540168017.014,148.438,29.785,35.645,26.367,-31.738,0
1540168017.018,136.719,28.320,31.738,20.020,-51.270,0
1540168017.022,138.184,27.832,32.715,18.555,-38.086,0
1540168017.026,144.043,25.879,31.250,20.996,16.602,0
1540168017.030,149.902,26.367,32.227,21.484,53.711,0
1540168017.034,160.645,24.902,33.203,17.578,-1.953,0
1540168017.038,169.434,27.344,30.762,16.113,-7.812,0
1540168017.041,169.434,32.227,33.203,20.020,9.766,0
1540168017.045,175.781,25.391,33.691,24.414,-16.602,0
1540168017.049,190.430,22.949,33.691,28.320,7.812,0
1540168017.053,201.660,28.320,33.691,28.809,-17.090,0
1540168017.057,203.613,31.250,27.832,28.320,-0.488,0
1540168017.061,202.637,31.250,28.320,25.391,49.316,0
1540168017.065,204.590,29.297,36.133,31.250,25.879,0
1540168017.069,208.496,26.367,40.039,31.738,19.043,0
1540168017.073,218.262,26.367,40.039,27.832,25.879,0
1540168017.077,214.844,31.250,41.992,36.133,22.461,0
1540168017.080,199.707,28.320,41.992,35.645,63.477,0
1540168017.084,200.684,24.414,40.039,27.344,6.836,0
1540168017.088,207.031,27.832,40.527,21.484,-7.324,0
1540168017.092,208.008,28.320,40.039,22.949,17.090,0
1540168017.096,214.355,25.879,40.039,29.297,-21.484,0
1540168017.100,225.098,23.926,39.062,29.297,-0.488,0
1540168017.104,236.328,25.391,38.086,21.973,15.137,0
1540168017.108,240.234,25.879,38.086,21.973,32.715,0
1540168017.112,241.699,22.461,35.156,24.902,67.871,0
1540168017.116,238.770,18.066,34.668,19.043,129.395,0
1540168017.120,233.887,17.578,37.109,20.996,86.914,0
1540168017.123,226.074,22.461,37.598,21.973,18.555,0
1540168017.127,231.445,21.973,31.250,16.113,69.824,0
1540168017.131,232.422,18.066,28.809,11.230,20.020,0
1540168017.135,229.980,19.531,34.180,6.348,-0.977,0
1540168017.139,230.957,19.043,35.156,6.836,26.855,0
1540168017.143,230.957,19.043,34.180,11.719,-22.461,0
1540168017.147,239.746,20.996,33.691,16.113,-18.555,0
1540168017.151,251.465,25.391,31.250,17.578,-20.996,0
1540168017.155,257.324,25.879,31.738,16.113,-28.809,0
1540168017.159,260.742,22.949,35.645,18.555,0.000,0
1540168017.163,264.648,25.391,36.133,21.973,9.277,0
1540168017.166,263.184,26.367,34.668,19.531,35.156,0
1540168017.170,264.160,27.344,36.621,16.602,30.762,0
1540168017.174,261.230,29.785,36.133,18.555,3.418,0
1540168017.178,260.254,28.320,34.180,21.484,56.152,0
1540168017.182,262.695,27.344,35.645,22.949,46.387,0
1540168017.186,269.043,24.414,36.133,18.555,2.441,0
1540168017.190,269.043,24.414,34.180,15.625,13.184,0
1540168017.194,264.160,28.320,29.785,18.555,-18.066,0
1540168017.198,265.137,30.762,26.855,20.996,-15.625,0
1540168017.202,268.066,32.227,26.855,17.090,50.293,0
1540168017.205,285.156,35.645,27.832,16.602,14.160,0
1540168017.209,301.758,34.668,28.809,17.090,-0.488,0
1540168017.213,299.805,31.250,27.344,21.973,45.898,0
1540168017.217,300.781,32.715,28.809,32.715,56.152,0
1540168017.221,307.617,31.250,31.738,29.297,31.250,0
1540168017.225,302.246,28.809,31.250,24.902,0.488,0
1540168017.229,296.875,29.297,28.320,24.902,44.434,0
1540168017.233,290.527,28.809,24.902,24.414,48.340,0
1540168017.237,293.457,27.344,26.367,24.414,-2.441,0
1540168017.241,287.109,29.297,27.344,23.438,60.547,0
